iter	Precision	Logloss
0	0.5202582009	0.6929761485
1	0.5237744494	0.6927910072
2	0.5228857529	0.6926256008
3	0.5226842204	0.6924794019
4	0.5235604631	0.6923268831
5	0.5238496654	0.6921933621
6	0.524225164	0.6920736584
7	0.5245107959	0.6919439781
8	0.5242982093	0.6918264819
9	0.5245520102	0.6917042041
10	0.5244893274	0.691606356
11	0.5247472522	0.691510368
12	0.5249112433	0.6914106183
13	0.524863228	0.6913113892
14	0.5250320349	0.6912154709
15	0.5251746067	0.6911249641
16	0.5254250786	0.6910346549
17	0.5253502217	0.6909530437
18	0.5254763802	0.6908799077
19	0.5255090355	0.6907963703
20	0.5253987046	0.6907214045
21	0.5256105464	0.6906396464
22	0.5257740926	0.6905659633
23	0.5258102691	0.6904987834
24	0.5259661995	0.6904307279
25	0.5261434993	0.6903625403
26	0.5259932749	0.6902990648
27	0.5262679829	0.6902431716
28	0.5264188313	0.6901917247
29	0.5265378616	0.6901344554
30	0.5266539968	0.6900786728
31	0.5267378962	0.6900298576
32	0.5270003236	0.6899895663
33	0.5269374109	0.6899400021
34	0.5270385036	0.6898887037
35	0.5271625135	0.6898386286
36	0.5271156319	0.6897904092
37	0.5272493187	0.6897353953
38	0.5273344911	0.689692374
39	0.5273770141	0.6896488792
40	0.5273514784	0.6896094999
41	0.527459009	0.6895612236
42	0.5275310238	0.6895194417
43	0.5276165054	0.6894788527
44	0.5277478989	0.6894385238
45	0.5277059323	0.6894073578
46	0.5277796482	0.68936752
47	0.5279313321	0.6893266518
48	0.5282554199	0.6892885599
49	0.5283240616	0.6892552734
50	0.528398658	0.6892122181
51	0.5284774516	0.6891786677
52	0.528458919	0.689149041
53	0.5285407789	0.6891168368
54	0.5284795651	0.6890939446
55	0.5286398696	0.6890628445
56	0.5287049265	0.6890346648
57	0.5288149648	0.6890027877
58	0.5288670486	0.6889636772
59	0.5288918539	0.6889355712
60	0.5289193936	0.6889107843
61	0.5288832161	0.6888760731
62	0.5290866387	0.6888395371
63	0.5292457329	0.6888141124
64	0.5293998429	0.6887917949
65	0.5295495168	0.6887633486
66	0.5296938706	0.6887376929
67	0.5296774339	0.6887126094
68	0.5298165943	0.6886865408
69	0.5299019265	0.688662296
70	0.5299267457	0.6886349109
71	0.5299945109	0.688607868
72	0.5301894941	0.6885805476
73	0.530380931	0.6885495167
74	0.5304248265	0.6885296888
75	0.5306320968	0.6885069333
76	0.5305976341	0.6884778316
77	0.5307524335	0.6884529297
78	0.5309123146	0.6884311919
79	0.5308532627	0.6884020797
80	0.531019743	0.6883776901
81	0.5309976111	0.6883560254
82	0.5310320134	0.688325755
83	0.5311189513	0.6883068362
84	0.5312287238	0.6882791381
85	0.5313161384	0.6882572402
86	0.5313876461	0.6882368255
87	0.5314628165	0.6882192859
88	0.5316096348	0.6881976819
89	0.5316269401	0.688180598
90	0.5316484802	0.688154005
91	0.5317192296	0.6881270516
92	0.5318883966	0.6880986342
93	0.5319206678	0.6880822495
94	0.5319548424	0.6880596099
95	0.5320620083	0.6880366319
96	0.5322684182	0.6880150511
97	0.5324032292	0.6879860669
98	0.5324458811	0.6879636131
99	0.5326031887	0.6879432322
100	0.5326873338	0.6879220183
101	0.5326626156	0.6878993565
102	0.5327518018	0.6878817663
103	0.532838122	0.6878599251
104	0.532868476	0.6878442597
105	0.5328453826	0.6878176331
106	0.5331497584	0.6877984023
107	0.5331958827	0.6877779721
108	0.5331754914	0.6877579233
109	0.5332814715	0.6877362062
110	0.533325775	0.6877159952
111	0.53347771	0.6876974065
112	0.5335314755	0.687678411
113	0.5336265657	0.6876638653
114	0.5336314591	0.6876480872
115	0.5336718963	0.6876269559
116	0.5337579449	0.6876095325
117	0.5337949027	0.6875904105
118	0.5337150231	0.6875727229
119	0.5338651361	0.6875541733
120	0.5339495106	0.6875325493
121	0.534009704	0.6875162371
122	0.5341311941	0.6875023999
123	0.5341948287	0.6874858986
124	0.5343092422	0.6874670033
